RSCID,Discord ID,Name,Franchise,Team,Tier,SBV,GP
RSC000639,316729236733952002,General Mills,Storm,Cyclones,Elite,7.00,5
RSC004205,417865487637282827,Tirmenat,Puppy Paradise,Rottweilers,Elite,6.15,21
RSC005370,261668442388692994,Slum,The Bear Den,Teddy Bears,Elite,1.35,8
RSC003418,392752715605999619,Fern,,,Elite,0.62,16
RSC002212,571838967067181084,Yoshi,Destined,Summoned,Elite,-3.32,16
RSC000322,212079983282094081,Humble Potato,Destined,Possessed,Veteran,34.63,29
RSC004165,412338210992291850,.Tor.,Seas Despair,Dark Mary,Elite,-13.04,1
RSC000175,161993761927331840,Nytro,The Swarm,Hornets,Elite,-14.28,4
RSC002178,276888283311636481,Bird,The Nexus,Orion,Elite,-21.37,4
RSC002271,497096781000081425,Eeeeeeeeeeeeeeeeeeeeeel,,,Elite,-22.00,5
RSC005475,263480093974855680,Nv_3E00,Energy,Potential,Amateur,60.62,46
RSC004542,322933120422772736,Cdeathuwu,The Wavelengths,X-ray,Veteran,34.10,27
RSC003789,352600418062303244,Monty,Seas Despair,Valencias Wrath,Veteran,54.08,32
RSC005709,460793769634037773,Nanovo1Tage,The Elements,Ice,Contender,94.86,49
RSC005503,796060043832721428,Imlurkinn,Destined,Sacrificed,Amateur,84.42,52
RSC005533,433121828383358986,Enygmah-_-,Energy,Gravitational,Contender,83.33,45
RSC002991,300428317088153600,Santa Turtle,Dungeons And Double Taps,Clerics,Contender,79.44,43
RSC005496,334156177434738709,Ant Society,Eight Legged Freaks,Hobo Spiders,Contender,78.08,47
RSC004276,687462683024556069,Dgitlsickboy,Eight Legged Freaks,Hobo Spiders,Contender,72.35,27
RSC003598,207689572564467712,I_Win_2681,The Elements,Ice,Contender,71.83,13
RSC005527,626197456761389076,Colossus4203316,Destined,Devoured,Amateur,14.82,15
RSC000656,322104525517488128,Kevbot-13,The Cosmos,Planetary,Contender,66.96,48
RSC004681,669716505134366761,Speciial_Eddy,Destined,Devoured,Contender,64.69,22
RSC004012,451011445015183360,Kgfan3,Electric Mayhem,Static,Contender,62.30,47
RSC000315,209749118837325824,Maxox,The Elements,Ice,Contender,61.37,49
RSC004619,749779300609294387,Firefly3616,Pantheon,Dionysus,Contender,60.59,33
RSC000963,517398288199319555,Sup3Rm4N,Pantheon,Dionysus,Contender,59.46,45
RSC005659,954865991555371088,Okingdeedss,,,Contender,58.52,8
RSC004952,209470787898310656,Iamdmachinee,Energy,Gravitational,Contender,56.12,41
RSC004890,256884585714024448,Kamikaze7200,Dungeons And Double Taps,Clerics,Contender,55.72,36
RSC005521,255890290714476544,Sohl,Pantheon,Dionysus,Contender,54.87,48
RSC004777,547558676659961866,Prestondew00,Electric Mayhem,Static,Contender,54.33,30
RSC001765,107134696206385152,El_Trios,Dungeons And Double Taps,Clerics,Contender,53.34,45
RSC002849,640750393885982721,Shark06,Dungeons And Double Taps,Clerics,Contender,52.14,32
RSC005462,189410664668856321,Mxaph4Nt0M,Fifty-Fifty Pizzeria,Garlic Knots,Contender,51.47,43
RSC005357,759865153616347167,Alphaslayer6072,Fifty-Fifty Pizzeria,Garlic Knots,Contender,50.85,38
RSC004509,175349093462310914,Tazlien,,,Contender,50.52,34
RSC004106,458748410733002763,K.Doughboy,Electric Mayhem,Static,Contender,46.74,47
RSC005494,277645282282307584,Agent_Mandark,Energy,Gravitational,Contender,44.41,46
RSC000086,137762763912118272,Stale Popcorn,Eight Legged Freaks,Hobo Spiders,Contender,44.03,41
RSC005280,941164310426701895,Engineerrl,Pantheon,Dionysus,Contender,41.90,30
RSC005145,276575216233349121,Attonas,Fifty-Fifty Pizzeria,Garlic Knots,Contender,41.33,46
RSC005617,1005263426139983912,Lobsterface,Destined,Devoured,Contender,40.14,51
RSC000776,376774753492664322,Bernatra,,,Contender,38.79,12
RSC005470,765281648626892851,Scribowls,The Garden,Pumpkins,Contender,37.45,36
RSC004972,781564482202763265,Buck_Nut82,The Cosmos,Planetary,Contender,37.16,52
RSC002911,483449696157958144,Alextross,Fifty-Fifty Pizzeria,Garlic Knots,Contender,36.79,25
RSC004939,894670685413208135,Jdoyle15,The Cosmos,Antimatter,Amateur,31.33,18
RSC001026,559922153835855892,Ragegamingis1,The Garden,Pumpkins,Contender,34.76,38
RSC005275,160916977324392449,Salvation,The Garden,Pumpkins,Contender,34.08,40
RSC005266,687809973111226394,Trobb,The Garden,Pumpkins,Contender,32.74,42
RSC005488,437602750805573632,Benc9.,,,Contender,30.79,3
RSC004679,282597346187935744,Shadic148,,,Contender,29.96,27
RSC005378,356514571034427393,Sky406,The Cosmos,Planetary,Contender,29.92,32
RSC004234,737453998600093836,Cbhiphop77,Energy,Gravitational,Contender,28.65,21
RSC003362,701510542325710989,Quidditch Captn,The Elements,Ice,Contender,27.87,45
RSC002828,404441196862373889,D1Rew00F,Destined,Devoured,Contender,19.77,37
RSC005798,339269985673150484,Bengr33Dy,,,Contender,15.79,4
RSC001035,562670034955272213,Charlieharley_1,Electric Mayhem,Static,Contender,13.68,13
RSC005721,180131769696256000,Sentinel,,,Contender,11.63,13
RSC003288,211753975534321665,Greengofantastic,Eight Legged Freaks,Hobo Spiders,Contender,3.23,7
RSC004853,228545603444015105,Joshua,,,Contender,-2.21,7
RSC005663,589512729392316446,Og_Cuddles_,The Cosmos,Planetary,Contender,-8.99,12
RSC005474,434195317114535946,X-_-Fath3R-_-X,,,Challenger,105.81,4
RSC005162,198474019060580353,Norcho Rivers,,,Challenger,98.02,3
RSC005657,530469068504039424,Thereal.Potato,Storm,Squalls,Challenger,96.87,51
RSC002308,223132169965535233,Quaice,The Gods,Shinigami,Challenger,94.76,15
RSC005335,143585132513591296,R4Ppp,,,Challenger,94.33,4
RSC004326,210785640231469057,The_Peskiest,The Wavelengths,Visible Light,Challenger,85.10,52
RSC005685,543858509742080010,Touchrl,The Abyss,Isopods,Challenger,80.42,60
RSC003900,788226068929576970,Tryhard Goblin,The Elements,Metal,Challenger,76.60,58
RSC005428,405261198737801216,Zachs Vibes,Eight Legged Freaks,Tarantulas,Challenger,76.12,35
RSC000172,161326083021602816,Bill Nye The Cat Guy,Storm,Squalls,Challenger,75.99,38
RSC005328,621386864569614357,Rickyspanish483,The Bakery,Puffin Pastries,Challenger,75.77,57
